dataset,model,macro_f1,accuracy,weighted_f1,samples,experiment
20 Newsgroups,BAAI/bge-m3,51.48,52.38,52.82,5000,SetFit_20_newsgroups_bge
20 Newsgroups,Qwen3,59.39,60.8,60.5,1000,SetFit_20_newsgroups_qwen3
20 Newsgroups,Snowflake/snowflake-arctic-embed-m,53.65,54.92,55.19,5000,SetFit_20_newsgroups_snowflake
20 Newsgroups,hkunlp/instructor-large,60.41,62.38,62.03,5000,SetFit_20_newsgroups_instructor
20 Newsgroups,intfloat/multilingual-e5-large,50.5,51.74,51.96,5000,SetFit_20_newsgroups_e5
20 Newsgroups,jinaai/jina-embeddings-v5-text-nano,57.22,58.26,58.61,5000,SetFit_20_newsgroups_jina_v5
20 Newsgroups,sentence-transformers/all-mpnet-base-v2,56.77,58.5,58.09,5000,SetFit_20_newsgroups_mpnet
AG News,BAAI/bge-m3,77.94,78.54,77.98,5000,ag_news_bge
AG News,BAAI/bge-m3,77.76,78.3,77.76,7600,bge_full
AG News,Qwen/Qwen3-Embedding-8B,77.99,78.36,78.01,5000,ag_news_qwen3
AG News,Qwen/Qwen3-Embedding-8B,78.17,78.46,78.17,7600,qwen3_full
AG News,Snowflake/snowflake-arctic-embed-m,76.81,76.64,76.84,5000,ag_news_snowflake
AG News,hkunlp/instructor-large,85.1,85.1,85.09,1000,agnews_instructor_large
AG News,hkunlp/instructor-large,84.86,84.92,84.91,5000,ag_news_instructor
AG News,intfloat/multilingual-e5-large,84.29,84.46,84.32,5000,ag_news_e5
AG News,intfloat/multilingual-e5-large,84.27,84.41,84.27,7600,e5_full
AG News,jinaai/jina-embeddings-v5-text-nano,79.87,80.4,79.92,5000,ag_news_jina_v5
AG News,jinaai/jina-embeddings-v5-text-nano,79.8,80.28,79.8,7600,jina_v5_full
AG News,sentence-transformers/all-mpnet-base-v2,81.09,81.4,81.15,5000,ag_news_mpnet
AG News,sentence-transformers/all-mpnet-base-v2,81.44,81.67,81.44,7600,mpnet_full
Banking77,BAAI/bge-m3,67.13,68.47,67.13,3080,banking77_bge
Banking77,Qwen/Qwen3-Embedding-8B,74.43,75.1,74.43,3080,banking77_qwen3
Banking77,Snowflake/snowflake-arctic-embed-m,50.29,51.14,50.29,3080,banking77_snowflake
Banking77,hkunlp/instructor-large,61.74,62.47,61.74,3080,banking77_instructor
Banking77,intfloat/multilingual-e5-large,59.05,59.61,59.05,3080,banking77_e5
Banking77,jinaai/jina-embeddings-v5-text-nano,70.73,71.43,70.73,3080,banking77_jina_v5
Banking77,sentence-transformers/all-mpnet-base-v2,62.43,63.6,62.43,3080,banking77_mpnet
DBpedia-14,BAAI/bge-m3,75.62,77.6,75.94,5000,dbpedia_14_bge
DBpedia-14,Qwen/Qwen3-Embedding-8B,83.55,84.24,83.59,5000,dbpedia_14_qwen3
DBpedia-14,Snowflake/snowflake-arctic-embed-m,72.27,75.0,72.56,5000,dbpedia_14_snowflake
DBpedia-14,hkunlp/instructor-large,81.9,83.48,82.01,5000,dbpedia_14_instructor
DBpedia-14,intfloat/multilingual-e5-large,81.21,82.0,81.3,5000,dbpedia_14_e5
DBpedia-14,jinaai/jina-embeddings-v5-text-nano,76.53,77.84,76.54,5000,dbpedia_14_jina_v5
DBpedia-14,sentence-transformers/all-mpnet-base-v2,77.81,79.36,78.19,5000,dbpedia_14_mpnet
GoEmotions,BAAI/bge-m3,20.15,21.7,20.58,1000,go_emotions_bge
GoEmotions,Qwen/Qwen3-Embedding-8B,21.02,17.6,17.84,1000,go_emotions_qwen3
GoEmotions,Snowflake/snowflake-arctic-embed-m,4.53,6.7,4.41,1000,goemotions_snowflake
GoEmotions,Snowflake/snowflake-arctic-embed-m,4.53,6.7,4.41,1000,go_emotions_snowflake
GoEmotions,hkunlp/instructor-large,20.41,19.2,18.63,1000,goemotions_instructor_large
GoEmotions,hkunlp/instructor-large,20.41,19.2,18.63,1000,go_emotions_instructor
GoEmotions,intfloat/multilingual-e5-large,17.42,16.4,15.27,1000,go_emotions_e5
GoEmotions,jinaai/jina-embeddings-v5-text-nano,22.44,21.2,19.53,1000,go_emotions_jina_v5
GoEmotions,sentence-transformers/all-mpnet-base-v2,14.76,14.5,13.81,1000,go_emotions_mpnet
Twitter Financial,BAAI/bge-m3,40.82,38.2,29.3,2000,zeroshot_twitter_financial_news_sentiment_bge
Twitter Financial,Qwen/Qwen3-Embedding-8B,64.61,70.05,70.43,2000,zeroshot_twitter_financial_news_sentiment_qwen3
Twitter Financial,Snowflake/snowflake-arctic-embed-m,43.43,44.25,44.12,2000,zeroshot_twitter_financial_news_sentiment_snowflake
Twitter Financial,hkunlp/instructor-large,64.05,66.35,67.41,2000,zeroshot_twitter_financial_news_sentiment_instructor
Twitter Financial,intfloat/multilingual-e5-large,49.71,48.25,47.16,2000,zeroshot_twitter_financial_news_sentiment_e5
Twitter Financial,jinaai/jina-embeddings-v5-text-nano,43.43,39.7,32.63,2000,zeroshot_twitter_financial_news_sentiment_jina_v5
Twitter Financial,sentence-transformers/all-mpnet-base-v2,56.8,60.75,62.0,2000,zeroshot_twitter_financial_news_sentiment_mpnet
Yahoo Answers,BAAI/bge-m3,45.65,47.56,45.66,5000,yahoo_answers_topics_bge
Yahoo Answers,Qwen/Qwen3-Embedding-8B,49.29,51.42,49.26,5000,yahoo_answers_topics_qwen3
Yahoo Answers,Snowflake/snowflake-arctic-embed-m,44.03,44.84,44.11,5000,yahoo_answers_topics_snowflake
Yahoo Answers,hkunlp/instructor-large,54.4,53.22,54.4,5000,yahoo_answers_topics_instructor
Yahoo Answers,intfloat/multilingual-e5-large,47.41,49.84,47.3,5000,yahoo_answers_topics_e5
Yahoo Answers,jinaai/jina-embeddings-v5-text-nano,48.51,48.8,48.47,5000,yahoo_answers_topics_jina_v5
Yahoo Answers,sentence-transformers/all-mpnet-base-v2,49.27,50.22,49.32,5000,yahoo_answers_topics_mpnet
