filename,dataset_name,configured_max_samples,status
ag_news_instructor.yaml,ag_news,1000,correct
ag_news_jina_task.yaml,ag_news,1000,correct
banking77_instructor.yaml,banking77,1000,correct
banking77_jina_task.yaml,banking77,1000,correct
dbpedia_14_instructor.yaml,dbpedia_14,1000,correct
dbpedia_14_jina_task.yaml,dbpedia_14,1000,correct
exp_20newsgroups_bge.yaml,SetFit/20_newsgroups,2000,correct
exp_20newsgroups_qwen.yaml,SetFit/20_newsgroups,2000,correct
exp_20newsgroups_snowflake.yaml,SetFit/20_newsgroups,2000,updated
exp_agnews_instructor.yaml,ag_news,1000,correct
exp_agnews_jina_v3_biencoder.yaml,ag_news,1000,correct
exp_agnews_mpnet.yaml,ag_news,1000,correct
exp_agnews_qwen3.yaml,ag_news,1000,correct
exp_agnews_snowflake.yaml,ag_news,1000,correct
exp_banking77_snowflake.yaml,banking77,1000,correct
exp_dbpedia_snowflake.yaml,fancyzhx/dbpedia_14,1000,correct
exp_goemotions_instructor.yaml,go_emotions,1000,correct
exp_goemotions_qwen3.yaml,go_emotions,1000,correct
exp_goemotions_snowflake.yaml,go_emotions,1000,correct
exp_twitter_financial_3shot.yaml,zeroshot/twitter-financial-news-sentiment,1000,updated
exp_twitter_financial_baseline.yaml,zeroshot/twitter-financial-news-sentiment,1000,updated
SetFit_20_newsgroups_instructor.yaml,SetFit/20_newsgroups,2000,correct
SetFit_20_newsgroups_jina_task.yaml,SetFit/20_newsgroups,2000,correct
yahoo_answers_topics_instructor.yaml,yahoo_answers_topics,1000,correct
yahoo_answers_topics_jina_task.yaml,yahoo_answers_topics,1000,correct
zeroshot_twitter_financial_news_sentiment_instructor.yaml,zeroshot/twitter-financial-news-sentiment,1000,correct
zeroshot_twitter_financial_news_sentiment_jina_task.yaml,zeroshot/twitter-financial-news-sentiment,1000,correct
